slice_file_name,['class']
101729-0-0-6,['air_conditioner']
101729-0-0-9,['air_conditioner']
101848-9-0-0,['street_music']
101848-9-0-1,['street_music']
101848-9-0-2,['street_music']
101848-9-0-3,['street_music']
101848-9-0-8,['street_music']
101848-9-0-9,['street_music']
102102-3-0-0,['dog_bark']
102103-3-0-0,['dog_bark']
102103-3-1-0,['dog_bark']
102104-3-0-0,['dog_bark']
102105-3-0-0,['dog_bark']
102106-3-0-0,['dog_bark']
102305-6-0-0,['gun_shot']
102547-3-0-2,['dog_bark']
102547-3-0-7,['dog_bark']
102547-3-0-8,['dog_bark']
102842-3-0-1,['dog_bark']
102842-3-1-0,['dog_bark']
102842-3-1-5,['dog_bark']
102842-3-1-6,['dog_bark']
102853-8-0-0,['siren']
102853-8-0-1,['siren']
102853-8-0-2,['siren']
102853-8-0-3,['siren']
102853-8-0-4,['siren']
102853-8-0-5,['siren']
102853-8-0-6,['siren']
102853-8-1-0,['siren']
102857-5-0-0,['engine_idling']
102857-5-0-1,['engine_idling']
102857-5-0-10,['engine_idling']
102857-5-0-11,['engine_idling']
102857-5-0-12,['engine_idling']
102857-5-0-13,['engine_idling']
102857-5-0-14,['engine_idling']
102857-5-0-15,['engine_idling']
102857-5-0-16,['engine_idling']
102857-5-0-17,['engine_idling']
102857-5-0-18,['engine_idling']
102857-5-0-19,['engine_idling']
102857-5-0-2,['engine_idling']
102857-5-0-20,['engine_idling']
102857-5-0-21,['engine_idling']
102857-5-0-22,['engine_idling']
102857-5-0-23,['engine_idling']
102857-5-0-24,['engine_idling']
102857-5-0-25,['engine_idling']
102857-5-0-26,['engine_idling']
102857-5-0-27,['engine_idling']
102857-5-0-28,['engine_idling']
102857-5-0-29,['engine_idling']
102857-5-0-3,['engine_idling']
102857-5-0-30,['engine_idling']
102857-5-0-4,['engine_idling']
102857-5-0-5,['engine_idling']
102857-5-0-6,['engine_idling']
102857-5-0-7,['engine_idling']
102857-5-0-8,['engine_idling']
102857-5-0-9,['engine_idling']
102858-5-0-0,['engine_idling']
102858-5-0-1,['engine_idling']
102871-8-0-0,['siren']
102871-8-0-1,['siren']
102871-8-0-10,['siren']
102871-8-0-11,['siren']
102871-8-0-12,['siren']
102871-8-0-13,['siren']
102871-8-0-14,['siren']
102871-8-0-15,['siren']
102871-8-0-2,['siren']
102871-8-0-3,['siren']
102871-8-0-4,['siren']
102871-8-0-5,['siren']
102871-8-0-6,['siren']
102871-8-0-7,['siren']
102871-8-0-8,['siren']
102871-8-0-9,['siren']
103074-7-0-0,['jackhammer']
103074-7-0-1,['jackhammer']
103074-7-0-2,['jackhammer']
103074-7-1-0,['jackhammer']
103074-7-1-1,['jackhammer']
103074-7-1-2,['jackhammer']
103074-7-1-3,['jackhammer']
103074-7-1-4,['jackhammer']
103074-7-1-5,['jackhammer']
103074-7-1-6,['jackhammer']
103074-7-2-0,['jackhammer']
103074-7-3-0,['jackhammer']
103074-7-3-1,['jackhammer']
103074-7-3-2,['jackhammer']
103074-7-3-3,['jackhammer']
103074-7-4-0,['jackhammer']
103074-7-4-1,['jackhammer']
103074-7-4-2,['jackhammer']
103074-7-4-3,['jackhammer']
103074-7-4-4,['jackhammer']
103074-7-4-5,['jackhammer']
103074-7-4-6,['jackhammer']
103076-3-0-0,['dog_bark']
103076-3-1-0,['dog_bark']
103076-3-2-0,['dog_bark']
103199-4-0-0,['drilling']
103199-4-0-3,['drilling']
103199-4-0-4,['drilling']
103199-4-0-5,['drilling']
103199-4-0-6,['drilling']
103199-4-1-0,['drilling']
103199-4-2-0,['drilling']
103199-4-2-1,['drilling']
103199-4-2-10,['drilling']
103199-4-2-11,['drilling']
103199-4-2-2,['drilling']
103199-4-2-3,['drilling']
103199-4-2-4,['drilling']
103199-4-2-5,['drilling']
103199-4-2-6,['drilling']
103199-4-2-7,['drilling']
103199-4-2-8,['drilling']
103199-4-2-9,['drilling']
103199-4-4-0,['drilling']
103199-4-6-0,['drilling']
103199-4-7-2,['drilling']
103249-5-0-0,['engine_idling']
103249-5-0-1,['engine_idling']
103249-5-0-10,['engine_idling']
103249-5-0-11,['engine_idling']
103249-5-0-12,['engine_idling']
103249-5-0-13,['engine_idling']
103249-5-0-14,['engine_idling']
103249-5-0-15,['engine_idling']
103249-5-0-16,['engine_idling']
103249-5-0-17,['engine_idling']
103249-5-0-18,['engine_idling']
103249-5-0-19,['engine_idling']
103249-5-0-2,['engine_idling']
103249-5-0-3,['engine_idling']
103249-5-0-4,['engine_idling']
103249-5-0-5,['engine_idling']
103249-5-0-6,['engine_idling']
103249-5-0-7,['engine_idling']
103249-5-0-8,['engine_idling']
103249-5-0-9,['engine_idling']
103258-5-0-0,['engine_idling']
103258-5-0-1,['engine_idling']
103258-5-0-10,['engine_idling']
103258-5-0-11,['engine_idling']
103258-5-0-12,['engine_idling']
103258-5-0-13,['engine_idling']
103258-5-0-14,['engine_idling']
103258-5-0-15,['engine_idling']
103258-5-0-16,['engine_idling']
103258-5-0-17,['engine_idling']
103258-5-0-18,['engine_idling']
103258-5-0-19,['engine_idling']
103258-5-0-2,['engine_idling']
103258-5-0-3,['engine_idling']
103258-5-0-4,['engine_idling']
103258-5-0-5,['engine_idling']
103258-5-0-6,['engine_idling']
103258-5-0-7,['engine_idling']
103258-5-0-8,['engine_idling']
103258-5-0-9,['engine_idling']
103357-4-0-0,['drilling']
103357-4-0-1,['drilling']
103438-5-0-0,['engine_idling']
103438-5-0-1,['engine_idling']
103438-5-0-2,['engine_idling']
104327-2-0-15,['children_playing']
104327-2-0-19,['children_playing']
104327-2-0-26,['children_playing']
104327-2-0-28,['children_playing']
104327-2-0-3,['children_playing']
104327-2-0-30,['children_playing']
104327-2-0-34,['children_playing']
104327-2-0-4,['children_playing']
104421-2-0-1,['children_playing']
104421-2-0-15,['children_playing']
104421-2-0-20,['children_playing']
104421-2-0-29,['children_playing']
104421-2-0-3,['children_playing']
104421-2-0-5,['children_playing']
104421-2-0-7,['children_playing']
104421-2-1-3,['children_playing']
104625-4-0-15,['drilling']
104625-4-0-21,['drilling']
104625-4-0-27,['drilling']
104625-4-0-29,['drilling']
104625-4-0-3,['drilling']
104625-4-0-35,['drilling']
104625-4-0-40,['drilling']
104625-4-0-41,['drilling']
104625-4-0-45,['drilling']
104625-4-0-48,['drilling']
104625-4-0-51,['drilling']
104625-4-0-52,['drilling']
104625-4-0-53,['drilling']
104625-4-0-55,['drilling']
104625-4-0-57,['drilling']
104625-4-0-66,['drilling']
104625-4-1-20,['drilling']
104625-4-1-8,['drilling']
104817-4-0-0,['drilling']
104817-4-0-1,['drilling']
104817-4-0-10,['drilling']
104817-4-0-11,['drilling']
104817-4-0-2,['drilling']
104817-4-0-3,['drilling']
104817-4-0-4,['drilling']
104817-4-0-5,['drilling']
104817-4-0-6,['drilling']
104817-4-0-7,['drilling']
104817-4-0-8,['drilling']
104817-4-0-9,['drilling']
104998-7-0-5,['jackhammer']
104998-7-10-1,['jackhammer']
104998-7-10-10,['jackhammer']
104998-7-10-13,['jackhammer']
104998-7-10-15,['jackhammer']
104998-7-10-8,['jackhammer']
104998-7-10-9,['jackhammer']
104998-7-11-0,['jackhammer']
104998-7-11-2,['jackhammer']
104998-7-12-2,['jackhammer']
104998-7-14-1,['jackhammer']
104998-7-14-5,['jackhammer']
104998-7-14-6,['jackhammer']
104998-7-15-1,['jackhammer']
104998-7-15-3,['jackhammer']
104998-7-15-5,['jackhammer']
104998-7-15-9,['jackhammer']
104998-7-16-0,['jackhammer']
104998-7-16-10,['jackhammer']
104998-7-16-11,['jackhammer']
104998-7-16-5,['jackhammer']
104998-7-16-6,['jackhammer']
104998-7-16-7,['jackhammer']
104998-7-17-0,['jackhammer']
104998-7-17-1,['jackhammer']
104998-7-17-12,['jackhammer']
104998-7-17-14,['jackhammer']
104998-7-17-4,['jackhammer']
104998-7-17-7,['jackhammer']
104998-7-17-8,['jackhammer']
104998-7-18-12,['jackhammer']
104998-7-18-13,['jackhammer']
104998-7-18-3,['jackhammer']
104998-7-18-9,['jackhammer']
104998-7-19-0,['jackhammer']
104998-7-19-3,['jackhammer']
104998-7-19-6,['jackhammer']
104998-7-19-7,['jackhammer']
104998-7-19-8,['jackhammer']
104998-7-19-9,['jackhammer']
104998-7-2-4,['jackhammer']
104998-7-2-5,['jackhammer']
104998-7-2-6,['jackhammer']
104998-7-3-1,['jackhammer']
104998-7-7-0,['jackhammer']
104998-7-7-1,['jackhammer']
104998-7-7-4,['jackhammer']
104998-7-7-7,['jackhammer']
104998-7-7-9,['jackhammer']
104998-7-8-13,['jackhammer']
104998-7-8-14,['jackhammer']
104998-7-8-15,['jackhammer']
104998-7-8-17,['jackhammer']
104998-7-8-4,['jackhammer']
104998-7-8-6,['jackhammer']
104998-7-8-7,['jackhammer']
104998-7-9-0,['jackhammer']
104998-7-9-13,['jackhammer']
104998-7-9-9,['jackhammer']
105029-7-0-0,['jackhammer']
105029-7-0-1,['jackhammer']
105029-7-0-2,['jackhammer']
105029-7-0-3,['jackhammer']
105029-7-0-4,['jackhammer']
105029-7-0-5,['jackhammer']
105029-7-0-6,['jackhammer']
105029-7-1-0,['jackhammer']
105029-7-1-1,['jackhammer']
105029-7-1-10,['jackhammer']
105029-7-1-11,['jackhammer']
105029-7-1-12,['jackhammer']
105029-7-1-13,['jackhammer']
105029-7-1-2,['jackhammer']
105029-7-1-3,['jackhammer']
105029-7-1-4,['jackhammer']
105029-7-1-5,['jackhammer']
105029-7-1-6,['jackhammer']
105029-7-1-7,['jackhammer']
105029-7-1-8,['jackhammer']
105029-7-1-9,['jackhammer']
105029-7-2-0,['jackhammer']
105029-7-2-1,['jackhammer']
105029-7-2-10,['jackhammer']
105029-7-2-11,['jackhammer']
105029-7-2-12,['jackhammer']
105029-7-2-13,['jackhammer']
105029-7-2-14,['jackhammer']
105029-7-2-15,['jackhammer']
105029-7-2-16,['jackhammer']
105029-7-2-2,['jackhammer']
105029-7-2-3,['jackhammer']
105029-7-2-4,['jackhammer']
105029-7-2-5,['jackhammer']
105029-7-2-6,['jackhammer']
105029-7-2-7,['jackhammer']
105029-7-2-8,['jackhammer']
105029-7-2-9,['jackhammer']
105029-7-3-0,['jackhammer']
105029-7-3-1,['jackhammer']
105029-7-3-2,['jackhammer']
105029-7-3-3,['jackhammer']
105029-7-3-4,['jackhammer']
105029-7-3-5,['jackhammer']
105029-7-3-6,['jackhammer']
105029-7-3-7,['jackhammer']
105029-7-4-0,['jackhammer']
105029-7-4-1,['jackhammer']
105029-7-4-2,['jackhammer']
105029-7-4-3,['jackhammer']
105088-3-0-10,['dog_bark']
105088-3-0-11,['dog_bark']
105088-3-0-19,['dog_bark']
105088-3-0-8,['dog_bark']
105289-8-0-0,['siren']
105289-8-0-1,['siren']
105289-8-0-2,['siren']
105289-8-0-3,['siren']
105289-8-0-4,['siren']
105289-8-0-5,['siren']
105289-8-1-0,['siren']
105289-8-1-1,['siren']
105289-8-1-2,['siren']
105289-8-1-3,['siren']
105289-8-1-4,['siren']
105289-8-2-0,['siren']
105289-8-2-1,['siren']
105289-8-2-2,['siren']
105289-8-2-3,['siren']
105289-8-2-4,['siren']
105289-8-2-5,['siren']
105289-8-2-6,['siren']
105289-8-2-7,['siren']
105319-3-0-22,['dog_bark']
105319-3-0-29,['dog_bark']
105319-3-0-39,['dog_bark']
105415-2-0-1,['children_playing']
105415-2-0-15,['children_playing']
105415-2-0-19,['children_playing']
105415-2-0-21,['children_playing']
105415-2-0-24,['children_playing']
105415-2-0-4,['children_playing']
105415-2-0-6,['children_playing']
105415-2-0-8,['children_playing']
105425-9-0-1,['street_music']
105425-9-0-10,['street_music']
105425-9-0-12,['street_music']
105425-9-0-13,['street_music']
105425-9-0-14,['street_music']
105425-9-0-23,['street_music']
106014-5-0-0,['engine_idling']
106014-5-0-1,['engine_idling']
106014-5-0-2,['engine_idling']
106014-5-0-3,['engine_idling']
106014-5-0-4,['engine_idling']
106015-5-0-0,['engine_idling']
106015-5-0-1,['engine_idling']
106015-5-0-10,['engine_idling']
106015-5-0-11,['engine_idling']
106015-5-0-12,['engine_idling']
106015-5-0-13,['engine_idling']
106015-5-0-14,['engine_idling']
106015-5-0-15,['engine_idling']
106015-5-0-16,['engine_idling']
106015-5-0-17,['engine_idling']
106015-5-0-18,['engine_idling']
106015-5-0-19,['engine_idling']
106015-5-0-2,['engine_idling']
106015-5-0-20,['engine_idling']
106015-5-0-3,['engine_idling']
106015-5-0-4,['engine_idling']
106015-5-0-5,['engine_idling']
106015-5-0-6,['engine_idling']
106015-5-0-7,['engine_idling']
106015-5-0-8,['engine_idling']
106015-5-0-9,['engine_idling']
106486-5-0-0,['engine_idling']
106486-5-0-1,['engine_idling']
106486-5-0-2,['engine_idling']
106487-5-0-0,['engine_idling']
106487-5-0-1,['engine_idling']
106487-5-0-2,['engine_idling']
106905-5-0-0,['engine_idling']
106905-5-0-1,['engine_idling']
106905-5-0-2,['engine_idling']
106905-8-0-0,['siren']
106905-8-0-1,['siren']
106905-8-0-2,['siren']
106905-8-0-3,['siren']
106955-6-0-0,['gun_shot']
107090-1-0-0,['car_horn']
107090-1-1-0,['car_horn']
107190-3-0-0,['dog_bark']
107228-5-0-0,['engine_idling']
107228-5-0-1,['engine_idling']
107228-5-0-2,['engine_idling']
107228-5-0-3,['engine_idling']
107228-5-0-4,['engine_idling']
107228-5-0-5,['engine_idling']
107228-5-0-6,['engine_idling']
107228-5-0-7,['engine_idling']
107357-8-0-0,['siren']
107357-8-0-1,['siren']
107357-8-0-2,['siren']
107357-8-0-3,['siren']
107357-8-0-4,['siren']
107357-8-0-5,['siren']
107357-8-0-6,['siren']
107357-8-0-7,['siren']
107357-8-0-8,['siren']
107357-8-1-0,['siren']
107357-8-1-1,['siren']
107357-8-1-10,['siren']
107357-8-1-11,['siren']
107357-8-1-12,['siren']
107357-8-1-13,['siren']
107357-8-1-14,['siren']
107357-8-1-15,['siren']
107357-8-1-16,['siren']
107357-8-1-17,['siren']
107357-8-1-18,['siren']
107357-8-1-2,['siren']
107357-8-1-3,['siren']
107357-8-1-4,['siren']
107357-8-1-5,['siren']
107357-8-1-6,['siren']
107357-8-1-7,['siren']
107357-8-1-8,['siren']
107357-8-1-9,['siren']
107653-9-0-12,['street_music']
107653-9-0-14,['street_music']
107653-9-0-18,['street_music']
107653-9-0-3,['street_music']
107653-9-0-5,['street_music']
107653-9-0-7,['street_music']
107842-4-0-0,['drilling']
107842-4-0-1,['drilling']
107842-4-0-2,['drilling']
107842-4-1-0,['drilling']
107842-4-2-0,['drilling']
107842-4-2-1,['drilling']
107842-4-2-2,['drilling']
107842-4-2-3,['drilling']
107842-4-2-4,['drilling']
107842-4-3-0,['drilling']
108041-9-0-11,['street_music']
108041-9-0-2,['street_music']
108041-9-0-4,['street_music']
108041-9-0-5,['street_music']
108041-9-0-6,['street_music']
108041-9-0-7,['street_music']
108041-9-0-9,['street_music']
108187-3-2-0,['dog_bark']
108187-3-3-0,['dog_bark']
108187-3-4-0,['dog_bark']
108187-3-6-0,['dog_bark']
108357-9-0-15,['street_music']
108357-9-0-2,['street_music']
108357-9-0-27,['street_music']
108357-9-0-30,['street_music']
108357-9-0-44,['street_music']
108357-9-0-49,['street_music']
108362-2-0-11,['children_playing']
108362-2-0-12,['children_playing']
108362-2-0-21,['children_playing']
108362-2-0-23,['children_playing']
108362-2-0-29,['children_playing']
108362-2-0-30,['children_playing']
108362-2-0-7,['children_playing']
108362-2-0-9,['children_playing']
108638-9-0-0,['street_music']
108638-9-0-1,['street_music']
108638-9-0-2,['street_music']
108638-9-0-4,['street_music']
108638-9-0-5,['street_music']
108638-9-0-6,['street_music']
109233-3-0-3,['dog_bark']
109233-3-0-4,['dog_bark']
109233-3-0-5,['dog_bark']
109233-3-0-6,['dog_bark']
109263-9-0-34,['street_music']
109263-9-0-39,['street_music']
109263-9-0-54,['street_music']
109263-9-0-61,['street_music']
109263-9-0-78,['street_music']
109703-2-0-134,['children_playing']
109703-2-0-14,['children_playing']
109703-2-0-153,['children_playing']
109703-2-0-29,['children_playing']
109703-2-0-32,['children_playing']
109703-2-0-48,['children_playing']
109703-2-0-50,['children_playing']
109711-3-1-0,['dog_bark']
109711-3-2-4,['dog_bark']
109711-3-2-6,['dog_bark']
110134-3-0-0,['dog_bark']
110371-3-0-1,['dog_bark']
110371-3-1-0,['dog_bark']
110371-3-1-1,['dog_bark']
110389-3-0-0,['dog_bark']
110621-7-0-0,['jackhammer']
110621-7-0-1,['jackhammer']
110621-7-0-2,['jackhammer']
110621-7-0-3,['jackhammer']
110622-6-0-0,['gun_shot']
110688-3-0-11,['dog_bark']
110688-3-0-17,['dog_bark']
110688-3-0-2,['dog_bark']
110688-3-0-32,['dog_bark']
110868-9-0-11,['street_music']
110868-9-0-13,['street_music']
110868-9-0-14,['street_music']
110868-9-0-15,['street_music']
110868-9-0-6,['street_music']
110868-9-0-8,['street_music']
110918-3-0-1,['dog_bark']
110918-3-0-26,['dog_bark']
110918-3-0-40,['dog_bark']
110918-3-0-9,['dog_bark']
111048-6-0-0,['gun_shot']
111386-5-0-0,['engine_idling']
111386-5-0-1,['engine_idling']
111386-5-0-2,['engine_idling']
111386-5-0-3,['engine_idling']
111386-5-0-4,['engine_idling']
111386-5-0-5,['engine_idling']
111386-5-0-6,['engine_idling']
111386-5-0-7,['engine_idling']
111386-5-1-0,['engine_idling']
111386-5-1-1,['engine_idling']
111386-5-1-10,['engine_idling']
111386-5-1-11,['engine_idling']
111386-5-1-12,['engine_idling']
111386-5-1-13,['engine_idling']
111386-5-1-14,['engine_idling']
111386-5-1-2,['engine_idling']
111386-5-1-3,['engine_idling']
111386-5-1-4,['engine_idling']
111386-5-1-5,['engine_idling']
111386-5-1-6,['engine_idling']
111386-5-1-7,['engine_idling']
111386-5-1-8,['engine_idling']
111386-5-1-9,['engine_idling']
111671-8-0-0,['siren']
111671-8-0-1,['siren']
111671-8-0-10,['siren']
111671-8-0-11,['siren']
111671-8-0-12,['siren']
111671-8-0-13,['siren']
111671-8-0-14,['siren']
111671-8-0-15,['siren']
111671-8-0-16,['siren']
111671-8-0-17,['siren']
111671-8-0-18,['siren']
111671-8-0-19,['siren']
111671-8-0-2,['siren']
111671-8-0-20,['siren']
111671-8-0-21,['siren']
111671-8-0-22,['siren']
111671-8-0-3,['siren']
111671-8-0-4,['siren']
111671-8-0-5,['siren']
111671-8-0-6,['siren']
111671-8-0-7,['siren']
111671-8-0-8,['siren']
111671-8-0-9,['siren']
112075-5-0-0,['engine_idling']
112075-5-0-1,['engine_idling']
112075-5-0-2,['engine_idling']
112195-3-0-38,['dog_bark']
112195-3-0-48,['dog_bark']
112195-3-0-57,['dog_bark']
112195-3-0-80,['dog_bark']
113160-8-0-0,['siren']
113201-5-0-0,['engine_idling']
113201-5-0-1,['engine_idling']
113201-5-0-2,['engine_idling']
113201-5-0-3,['engine_idling']
113201-5-0-4,['engine_idling']
113201-5-0-5,['engine_idling']
113201-5-0-6,['engine_idling']
113201-5-0-7,['engine_idling']
113202-5-0-0,['engine_idling']
113202-5-0-1,['engine_idling']
113202-5-0-10,['engine_idling']
113202-5-0-11,['engine_idling']
113202-5-0-12,['engine_idling']
113202-5-0-13,['engine_idling']
113202-5-0-14,['engine_idling']
113202-5-0-15,['engine_idling']
113202-5-0-16,['engine_idling']
113202-5-0-17,['engine_idling']
113202-5-0-18,['engine_idling']
113202-5-0-19,['engine_idling']
113202-5-0-2,['engine_idling']
113202-5-0-20,['engine_idling']
113202-5-0-21,['engine_idling']
113202-5-0-22,['engine_idling']
113202-5-0-23,['engine_idling']
113202-5-0-24,['engine_idling']
113202-5-0-25,['engine_idling']
113202-5-0-26,['engine_idling']
113202-5-0-27,['engine_idling']
113202-5-0-28,['engine_idling']
113202-5-0-3,['engine_idling']
113202-5-0-4,['engine_idling']
113202-5-0-5,['engine_idling']
113202-5-0-6,['engine_idling']
113202-5-0-7,['engine_idling']
113202-5-0-8,['engine_idling']
113202-5-0-9,['engine_idling']
113203-5-0-0,['engine_idling']
113203-5-0-1,['engine_idling']
113203-5-0-2,['engine_idling']
113203-5-0-3,['engine_idling']
113203-5-0-4,['engine_idling']
113203-5-0-5,['engine_idling']
113203-5-0-6,['engine_idling']
113203-5-0-7,['engine_idling']
113203-5-0-8,['engine_idling']
113203-5-1-0,['engine_idling']
113203-5-1-1,['engine_idling']
113203-5-1-2,['engine_idling']
113203-5-2-0,['engine_idling']
113203-5-3-0,['engine_idling']
113203-5-3-1,['engine_idling']
113203-5-4-0,['engine_idling']
113203-5-5-0,['engine_idling']
113203-5-6-0,['engine_idling']
113203-5-7-0,['engine_idling']
113203-5-8-0,['engine_idling']
113205-5-0-0,['engine_idling']
113205-5-1-0,['engine_idling']
113205-5-1-1,['engine_idling']
113205-5-1-2,['engine_idling']
113205-5-1-3,['engine_idling']
113205-5-1-4,['engine_idling']
113205-5-1-5,['engine_idling']
113205-5-1-6,['engine_idling']
113205-5-1-7,['engine_idling']
113205-5-1-8,['engine_idling']
113205-5-1-9,['engine_idling']
113216-5-0-0,['engine_idling']
113216-5-0-1,['engine_idling']
113216-5-0-2,['engine_idling']
113216-5-0-3,['engine_idling']
113216-5-0-4,['engine_idling']
113601-9-0-22,['street_music']
113601-9-0-3,['street_music']
113601-9-0-33,['street_music']
113601-9-0-34,['street_music']
113601-9-0-35,['street_music']
113601-9-0-42,['street_music']
113785-3-0-0,['dog_bark']
113785-3-1-0,['dog_bark']
114280-3-0-0,['dog_bark']
114280-3-0-1,['dog_bark']
114587-3-0-2,['dog_bark']
114587-3-0-4,['dog_bark']
114587-3-0-5,['dog_bark']
114587-3-0-7,['dog_bark']
115239-9-0-0,['street_music']
115239-9-0-1,['street_music']
115239-9-0-2,['street_music']
115239-9-0-3,['street_music']
115239-9-0-4,['street_music']
115239-9-0-5,['street_music']
115240-9-0-1,['street_music']
115240-9-0-16,['street_music']
115240-9-0-28,['street_music']
115240-9-0-34,['street_music']
115240-9-0-36,['street_music']
115240-9-0-4,['street_music']
115241-9-0-1,['street_music']
115241-9-0-14,['street_music']
115241-9-0-2,['street_music']
115241-9-0-20,['street_music']
115241-9-0-6,['street_music']
115241-9-0-8,['street_music']
115241-9-0-9,['street_music']
115242-9-0-14,['street_music']
115242-9-0-44,['street_music']
115242-9-0-55,['street_music']
115242-9-0-68,['street_music']
115242-9-0-70,['street_music']
115242-9-0-83,['street_music']
115243-9-0-0,['street_music']
115243-9-0-16,['street_music']
115243-9-0-4,['street_music']
115243-9-0-46,['street_music']
115243-9-0-81,['street_music']
115243-9-0-94,['street_music']
115411-3-0-0,['dog_bark']
115411-3-2-0,['dog_bark']
115411-3-3-0,['dog_bark']
115415-9-0-0,['street_music']
115415-9-0-1,['street_music']
115415-9-0-4,['street_music']
115415-9-0-5,['street_music']
115415-9-0-6,['street_music']
115415-9-0-7,['street_music']
115418-9-0-11,['street_music']
115418-9-0-12,['street_music']
115418-9-0-15,['street_music']
115418-9-0-20,['street_music']
115418-9-0-29,['street_music']
115418-9-0-6,['street_music']
115535-3-0-0,['dog_bark']
115536-3-0-0,['dog_bark']
115537-3-0-0,['dog_bark']
116163-3-0-0,['dog_bark']
116163-3-1-0,['dog_bark']
116163-3-2-0,['dog_bark']
116400-3-0-2,['dog_bark']
116400-3-1-0,['dog_bark']
116400-3-1-1,['dog_bark']
116400-3-1-2,['dog_bark']
116423-2-0-0,['children_playing']
116423-2-0-1,['children_playing']
116423-2-0-2,['children_playing']
116423-2-0-3,['children_playing']
116423-2-0-4,['children_playing']
116483-3-0-1,['dog_bark']
116483-3-0-2,['dog_bark']
116483-3-1-0,['dog_bark']
116483-3-1-2,['dog_bark']
116484-3-0-12,['dog_bark']
116484-3-0-16,['dog_bark']
116484-3-0-6,['dog_bark']
116484-3-0-8,['dog_bark']
116485-3-0-4,['dog_bark']
116485-3-0-6,['dog_bark']
116485-3-2-0,['dog_bark']
116485-3-2-4,['dog_bark']
117048-3-0-17,['dog_bark']
117048-3-0-23,['dog_bark']
117048-3-0-25,['dog_bark']
117048-3-0-35,['dog_bark']
117072-3-0-11,['dog_bark']
117072-3-0-14,['dog_bark']
117072-3-0-19,['dog_bark']
117072-3-0-8,['dog_bark']
117181-8-0-0,['siren']
117181-8-0-1,['siren']
117181-8-0-10,['siren']
117181-8-0-11,['siren']
117181-8-0-12,['siren']
117181-8-0-2,['siren']
117181-8-0-3,['siren']
117181-8-0-4,['siren']
117181-8-0-5,['siren']
117181-8-0-6,['siren']
117181-8-0-7,['siren']
117181-8-0-8,['siren']
